Unnamed: 0,original,normalized,prediction
30,Còn phải nói nhỏ nhẹ kiểu nhờ vả để nó trả mà nó còn k thèm trả,Còn phải nói nhỏ nhẹ kiểu nhờ vả để nó trả mà nó còn không thèm trả,Còn phải nói nhỏ nhẹ kiểu nhờ vả để nó trả mà nó còn không thèm trả
31,"Huhu hqua đang đọc dở phòng ks 371 cái bị văng ra, quay lại thì bài đó bay màu luôn zị ad","Huhu hôm qua đang đọc dở phòng khách sạn 371 cái bị văng ra, quay lại thì bài đó bay màu luôn vậy ad","Huhu hqua đang đọc dở phòng học 371 cái bị văng ra, quay lại thì bài đó bay màu luôn vậy ad"
32,Nhìn nóa lại nghĩ đến con ngỗng nhà toy,Nhìn nó lại nghĩ đến con ngỗng nhà tôi,Nhìn nó lại nghĩ đến con ngỗng nhà toy
33,khoang thắc mắc lúc chạy đuổi theo giả bộ như nào để ông chủ k biết chứ xe máy thì s chạy thua chạy bộ đc,khoan thắc mắc lúc chạy đuổi theo giả bộ như nào để ông chủ không biết chứ xe máy thì sao chạy thua chạy bộ được,khoang thắc mắc lúc chạy đuổi theo giả bộ như nào để ông chủ không biết chứ xe máy thì sao chạy thua chạy bộ được
34,bn xem có thực sự muốn giữ gìn cuộc hn này chưa rồi tính,bạn xem có thật sự muốn giữ gìn cuộc hôn nhân này chưa rồi tính,bạn xem có thực sự muốn giữ gìn cuộc hn này chưa rồi tính
35,có khi ny bạn đang trong bụng mẹ,có khi người yêu bạn đang trong bụng mẹ,có khi người yêu bạn đang trong bụng mẹ
36,người bạn duy nhất nhớ SN mình khi mình ẩn hết đi.,người bạn duy nhất nhớ sinh nhật mình khi mình ẩn hết đi.,người bạn duy nhất nhớ SN mình khi mình ở hết đi.
37,"Nhiều lúc xem tin tuyển dụng thấy yêu cầu phức tạp, nhiều cái ko biết mà nản luôn.","Nhiều lúc xem tin tuyển dụng thấy yêu cầu phức tạp, nhiều cái không biết mà nản luôn.","Nhiều lúc xem tin tuyển dụng thấy yêu cầu phức tạp, nhiều cái không biết mà nản luôn."
38,Ánh hào quan rực rỡ đây ms đúng sự thật,Ánh hào quang rực rỡ đây mới đúng sự thật,Ánh hào quân rực rỡ đây mới đúng sự thật
39,"Game như hạch, bị dụ chơi cho đỡ stress, tải về chơi còn tr:ầm cả:m hơn","Game như hạch, bị dụ chơi cho đỡ stress, tải về chơi còn trầm cảm hơn","Game như hạch, bị dụ chơi cho đỡ stress, tải về chơi còn tr:ầm cả:m hơn"
40,"Quan trọng là ng ta nét nào ra nét đấy, mặt xinh, bắp tay nhỏ","Quan trọng là người ta nét nào ra nét đấy, mặt xinh, bắp tay nhỏ","Quan trọng là người ta nét nào ra nét đấy, mặt xinh, bắp tay nhỏ"
41,trong tù k ai lấy nồi của b để kho cá cả :))),trong tù không ai lấy nồi của bạn để kho cá cả :))),trong tù không ai lấy nồi của bạn để kho cá cả
42,ủa là chị nói thiệt hả e tưởng dỡn,ủa là chị nói thiệt hả em tưởng giỡn,ủa là chị nói thiệt hả em tưởng dỡn
43,Ai k xem trận này phí lắm,Ai không xem trận này phí lắm,Ai không xem trận này phí lắm
44,nếu k qtam thì thả tym giúp t nhé,nếu không quan tâm thì thả tim giúp tôi nhé,nếu không quan tâm thì thả tym giúp tôi nhé
45,Nhờ video này t mới biết nguyên liệu làm mì căn ăn dc mấy chục năm r,Nhờ video này tôi mới biết nguyên liệu làm mì căn ăn được mấy chục năm rồi,Nhờ video này tôi mới biết nguyên liệu làm mì căn ăn được mấy chục năm rồi
46,Đến ảnh này thì k thể nhịn cười đc r,Đến ảnh này thì không thể nhịn cười được rồi,Đến ảnh này thì không thể nhịn cười được rồi
47,Nhìn giống Lee Bo Jin ghê ák,Nhìn giống Lee Bo Jin ghê á,Nhìn giống Lee Bo Jin ghê á
48,m nhìn em nhà ngta đi,mày nhìn em nhà người ta đi,mày nhìn em nhà người ta đi
49,"Phim rất bình thường, chỉ có những người trẻ tuổi xấu xí cho rằng lớp trung niên là ko thể yêu đương lãng mạn hường phấn là ko bình thường thôi.","Phim rất bình thường, chỉ có những người trẻ tuổi xấu xí cho rằng lớp trung niên là không thể yêu đương lãng mạn hường phấn là không bình thường thôi.","Phim rất bình thường, chỉ có những người trẻ tuổi xấu xí cho rằng lớp trung niên là không thể yêu đương lãng mạn hưng phấn là không bình thường thôi."
50,Ở nhà ăn mà bới bới bố mẹ t cho nhịn đói luôn chứ ở đó mà tự nhiên,Ở nhà ăn mà bới bới bố mẹ tôi cho nhịn đói luôn chứ ở đó mà tự nhiên,Ở nhà ăn mà bới bới bố mẹ tôi cho nhịn đói luôn chứ ở đó mà tự nhiên
51,dề trang điểm cho tui bà ưi,về trang điểm cho tui bà ơi,về trang điểm cho tui bà ơi
52,nhớ quài cái cảnh khóc trong khách sạn á trời :)),nhớ hoài cái cảnh khóc trong khách sạn á trời :)),nhớ quài cái cảnh khóc trong khách sạn á trời
53,nhìu khi teo tưởng con mèo nó biết nói thật ạ,nhiều khi tao tưởng con mèo nó biết nói thật ạ,nhiều khi tao tưởng con mèo nó biết nói thật ạ
54,Coi ở đâu có sub vậy mn,Coi ở đâu có sub vậy mọi người,Coi ở đâu có sub vậy mọi người
55,cỡ nào dữ dị =))),cỡ nào dữ vậy =))),cỡ nào dữ vậy =)))
56,Kon pé koi mà píc trừnk,Con bé coi mà biết chừng,Kon pé koi mà píc trừnk
57,mẹ ăn ké bánh chớ mẹ hong có uống sữa đâu nghen,mẹ ăn ké bánh chứ mẹ không có uống sữa đâu nghen,mẹ ăn ké bánh chứ mẹ không có uống sữa đâu nghen
58,Vãi chưởng chứ thấy dv nữ nào đẹp đẹp là ck có pồ ta,Vãi chưởng chứ thấy diễn viên nữ nào đẹp đẹp là chồng có bồ ta,Vãi chưởng chứ thấy đv nữ nào đẹp đẹp là chồng có bồ ta
59,chuyên gia xạc xong k rút đt,chuyên gia sạc xong không rút điện thoại,chuyên gia xạc xong không rút điện thoại
60,Cháu nhà tôi hôm nay đi học sớm nắm bác ạ .,Cháu nhà tôi hôm nay đi học sớm lắm bác ạ .,Cháu nhà tôi hôm nay đi học sớm nắm bác ạ .
61,chi pu hú 1 cái cười banh l,chi pu hú 1 cái cười banh lồn,chi pu hú 1 cái cười banh l
62,đi mát xa khum cậu,đi mát xa không cậu,đi mát xa không cậu
63,"Anh ấy 10d, không có nhưng :))","Anh ấy 10d, nhưng không có :))","Anh ấy 10d, không có nhưng"
64,Xin lõi nhma song tử vô tâm thứ 2 khom ai thứ nhất,Xin lỗi nhưng mà song tử vô tâm thứ 2 không ai thứ nhất,Xin lỗi nhưng mà sống tử vô tâm thứ 2 không ai thứ nhất
65,"rồi thế là xong, dắt tầu lá chuối trả về nơi sản xuất luôn chứ còn gì nữa, con dâu gì lá,o nháo quá vậy","rồi thế là xong, dắt tàu lá chuối trả về nơi sản xuất luôn chứ còn gì nữa, con dâu gì láo nháo quá vậy","rồi thế là xong, dắt tầu lá chuối trả về nơi sản xuất luôn chứ còn gì nữa, con dâu gì lá,o nháo quá vậy"
66,"ck tôi bế con bé,thay vì rơi nước mắt xúc động này kia như phim thì ổng bảo: ui sao nó xấu thế này em ơi?","chồng tôi bế con bé,thay vì rơi nước mắt xúc động này kia như phim thì ổng bảo: ui sao nó xấu thế này em ơi?","chồng tôi bế con bé,thay vì rơi nước mắt xúc động này kia như phim thì ổng bảo: ui sao nó xấu thế này em ơi?"
67,hôm nay có mấy đứa nó chơi ném bóng nc thế là lớp tôi bị phạt 200 với bị bắt trực sân hôm khai giảng,hôm nay có mấy đứa nó chơi ném bóng nước thế là lớp tôi bị phạt 200 với bị bắt trực sân hôm khai giảng,hôm nay có mấy đứa nó chơi ném bóng nước thế là lớp tôi bị phạt 200 với bị bắt trực sân hôm khai giảng
68,Ở Việt Nam làm lương 5 chẹo mà có dịch vụ này xác định ăn mì cả tháng -.-,Ở Việt Nam làm lương 5 triệu mà có dịch vụ này xác định ăn mì cả tháng -.-,Ở Việt Nam làm lương 5 triệu mà có dịch vụ này xác định ăn mì cả tháng -.-
69,Xả quen r nhìn nước bồn cầu trắng khum quen nha,Xả quen rồi nhìn nước bồn cầu trắng không quen nha,Xả quen rồi nhìn nước bồn cầu trắng không quen nha
70,chill ik ai rồi cũng chết,chill đi ai rồi cũng chết,chill đi ai rồi cũng chết
71,khổ chịu khó tý r cho ăn,khổ chịu khó tý rồi cho ăn,khổ chịu khó tí rồi cho ăn
72,Gì chứ đấm nhau thì a chưa ngán ai bao giờ,Gì chứ đấm nhau thì anh chưa ngán ai bao giờ,Gì chứ đấm nhau thì anh chưa ngán ai bao giờ
73,"khâu có 5 mũi thôi mà chỉ khâu xuyên qua như thế nào cảm giác dc hết, rạch mổ gì cũng biết mỗi cái ko thấy đau =))))))))))","khâu có 5 mũi thôi mà chỉ khâu xuyên qua như thế nào cảm giác được hết, rạch mổ gì cũng biết mỗi cái không thấy đau =))))))))))","khâu có 5 mũi thôi mà chỉ khâu xuyên qua như thế nào cảm giác được hết, rạch mổ gì cũng biết mỗi cái không thấy đau ="
74,tưởng mấy a tây iu thương dữ lắm,tưởng mấy anh tây yêu thương dữ lắm,tưởng mấy anh tây yêu thương dữ lắm
75,Mẹ t bảo : Bun ăn nhanh lên k mẹ m ăn hết giờ,Mẹ tao bảo : Bun ăn nhanh lên không mẹ mày ăn hết giờ,Mẹ tao bảo : Bun ăn nhanh lên không mẹ mày ăn hết giờ
76,Chị trả lời chí mạng z chị gái ơi,Chị trả lời chí mạng vậy chị gái ơi,Chị trả lời chí mạng vậy chị gái ơi
77,biết phải lm gì chưa,biết phải làm gì chưa,biết phải làm gì chưa
78,Mn cho mình hỏi trước giờ Việt Nam mình thấy tiếp xúc cũng nhiều nhưng có nghệ sĩ nào có danh phận với luxury brand trước ST chưa ạ?,Mọi người cho mình hỏi trước giờ Việt Nam mình thấy tiếp xúc cũng nhiều nhưng có nghệ sĩ nào có danh phận với luxury brand trước ST chưa ạ?,Mn cho mình hỏi trước giờ Việt Nam mình thấy tiếp xúc cũng nhiều nhưng có nghệ sĩ nào có danh phận với luxury brand trước ST chưa ạ?
79,tôi không khóc tôi viết đơn hẻ,tôi không khóc tôi viết đơn hả,tôi không khóc tôi viết đơn hẻ
80,Cbi tinh thần chưa pà ui,Chuẩn bị tinh thần chưa bà ơi,Cbi tinh thần chưa bà ơi
81,xin lỗi cả nhà vì con đã từng có snghi ích kỷ nvay nhé,xin lỗi cả nhà vì con đã từng có suy nghĩ ích kỷ nvay nhé,xin lỗi cả nhà vì con đã từng có suy nghĩ ích kỷ này nhé
82,hàng hiệu đó lấy ko o may cho cái đi học,hàng hiệu đó lấy không ông mày cho cái đi học,hàng hiệu đó lấy không ở may cho cái đi học
83,trấn an mình z đi,trấn an mình vậy đi,trấn an mình vậy đi
84,thường thì khả năng tái tạo chỉ tồn tại trên các đv có tuổi thọ thấp,thường thì khả năng tái tạo chỉ tồn tại trên các động vật có tuổi thọ thấp,thường thì khả năng tái tạo chỉ tồn tại trên các điện thoại có tuổi thọ thấp
85,Ủa zụ này hôm bữa thấy lên tin tức nói nữ sinh tự tạo nick ảo rồi tự tung tin mà sao giờ tin ảo thành thật rồi,Ủa vụ này hôm bữa thấy lên tin tức nói nữ sinh tự tạo nick ảo rồi tự tung tin mà sao giờ tin ảo thành thật rồi,Ủa vụ này hôm bữa thấy lên tin tức nói nữ sinh tự tạo nick ảo rồi tự tung tin mà sao giờ tin ảo thành thật rồi
86,ba t thấy cái giỏ của t mà tưởng đâu cái thùng rác k,ba tôi thấy cái giỏ của tôi mà tưởng đâu cái thùng rác không,ba tôi thấy cái giỏ của tôi mà tưởng đâu cái thùng rác không
87,Svien năm 2 nhg ko dám kể vì bm cấm đi làm,Sinh viên năm 2 nhưng không dám kể vì ba mẹ cấm đi làm,Svien năm 2 nhưng không dám kể vì bm cấm đi làm
88,Chắc mai phãi làm z wa,Chắc mai phải làm vậy quá,Chắc mai phải làm vậy wa
89,E bị mắng là vô duyên là vì e có hành động bới đồ ăn chứ k phải là do e k ăn đc thịt mỡ đâu e.,em bị mắng là vô duyên là vì em có hàng động bới đồ ăn chứ không phải là do em không ăn được thịt mỡ đâu em.,Em bị mắng là vô duyên là vì em có hành động bới đồ ăn chứ không phải là do em không ăn được thịt mỡ đâu em.
90,"K những thế còn xin ăn ké bim bim với con nữa cơ , hết ck cho tiền bảo con gái mua cho cả mẹ ăn nữa","Không những thế còn xin ăn ké bim bim với con nữa cơ , hết chồng cho tiền bảo con gái mua cho cả mẹ ăn nữa","K những thế còn xin ăn ké bim bim với con nữa cơ , hết chồng cho tiền bảo con gái mua cho cả mẹ ăn nữa"
91,bữa đi đầm sen vs trường thấy nguyên miếng bvs trôi theo dòng nc=)))),bữa đi đầm sen với trường thấy nguyên miếng băng vệ sinh trôi theo dòng nước=)))),bữa đi đầm sen với trường thấy nguyên miếng bvs trôi theo dòng nước=
92,dùng ko c làm cho cái gởi sang bển,dùng không cậu làm cho cái gửi sang bển,dùng không chị làm cho cái gửi sang bạn
93,Nhìn cũng đáng eo ghê,Nhìn cũng đáng yêu ghê,Nhìn cũng đáng yêu ghê
94,Dù cho lòi truỹ hhhhhkkkk,Dù cho lòi trĩ hhhhhkkkk,Dù cho lòi truỹ hhhhhkkkk
95,lỡ cắt tóc mẹ rầu giờ quay hong được,lỡ cắt tóc mẹ rồi giờ quay hông được,lỡ cắt tóc mẹ rồi giờ quay không được
96,Cảm ơn cuộc đời zì zờ nài tôi zẫn độc thân :))),Cảm ơn cuộc đời vì giờ này tôi vẫn độc thân :))),Cảm ơn cuộc đời vì giờ này tôi vẫn độc thân
97,k hiểu kiểu gì luôn,không hiểu kiểu gì luôn,không hiểu kiểu gì luôn
98,doi xiu zo mood da :)),đợi xíu vô mood đã :)),đổi Xiu zo mood da
99,sống để bụng chếc thì thui,sống để bụng chết thì thôi,sống để bụng chếc thì thôi
100,casting đi pà lỡ đâu dc đóng vai quằng tử:)),casting đi bà lỡ đâu được đóng vai hoàng tử:)),casting đi bà lỡ đâu được đóng vai quằng tử:))
101,đi casting cbi làm phù thuỷ,đi casting chuẩn bị làm phù thuỷ,đi casting công ty làm phù thuỷ
102,Chúc cả nhà bủi tối dui dẻ,Chúc cả nhà buổi tối vui vẻ,Chúc cả nhà buổi tối vui vẻ
103,"Xem The Boys, Invincible, EEAAO đi ah","Xem The Boys, Invincible, EEAAO đi ạ","Xem The Boys, Invincible, EEAAO đi ah"
104,Bh bay thì gọi t dậy,Bao giờ bay thì gọi tôi dậy,Bh bay thì gọi tôi dậy
105,bất ngờ chưa bà dà=))))),bất ngờ chưa bà già=))))),bất ngờ chưa bà già=)
106,"Đúng là chả biết gì, bầy  đặt lớn tiếng, con ko ăn thì mẹ nó ăn chứ chả nhẽ cho bố nó ăn","Đúng là chả biết gì, bày đặt lớn tiếng, con không ăn thì mẹ nó ăn chứ chả nhẽ cho bố nó ăn","Đúng là chả biết gì, bầy đặt lớn tiếng, con không ăn thì mẹ nó ăn chứ chả nhẽ cho bố nó ăn"
107,"cứ thử rơi vào e xem, e diễn cho tụi nó ko bao giờ dám manh động luôn ấy chứ","cứ thử rơi vào em xem, em diễn cho tụi nó không bao giờ dám manh động luôn ấy chứ","cứ thử rơi vào em xem, em diễn cho tụi nó không bao giờ dám manh động luôn ấy chứ"
108,Chắc ổn hok : ổn't,Chắc ổn không : ổn't,Chắc ổn không : ổn
109,ở Vn mà có zai đẹp ntn thì e cx đi mát xa quá,ở Vn mà có trai đẹp ntn thì em cũng đi mát xa quá,ở Vn mà có zai đẹp ntn thì em cũng đi mát xa quá
110,"Up ảnh thẻ cũng đc, càng nhiều góc chụp càng tốt","Up ảnh thẻ cũng được, càng nhiều góc chụp càng tốt","Up ảnh thẻ cũng được, càng nhiều góc chụp càng tốt"
111,"Kể cho mng nghe, đợt đó em đi coi bói thì anh đó bảo em là người yêu lúc đó sẽ cắm sừng em, không bền đâu.","Kể cho mọi người nghe, đợt đó em đi coi bói thì anh đó bảo em là người yêu lúc đó sẽ cắm sừng em, không bền đâu.","Kể cho mọi người nghe, đợt đó em đi coi bói thì anh đó bảo em là người yêu lúc đó sẽ cắm sừng em, không bền đâu."
112,"Cấp 1 chưa dậy thì, răng lại sún nhiều nên chúng nó k thèm chua","Cấp 1 chưa dậy thì, răng lại sún nhiều nên chúng nó không thèm chua","Cấp 1 chưa dậy thì, răng lại sún nhiều nên chúng nó không thèm chua"
113,Vì vốn dĩ người che ô cũng là người mang mưa đến phải khum,Vì vốn dĩ người che ô cũng là người mang mưa đến phải không,Vì vốn dĩ người che ô cũng là người mang mưa đến phải không
114,mốt mở quán ts dán bảng vậy :)))),mốt mở quán trà sữa dán bảng vậy :)))),mốt mở quán tôi dán bảng vậy)
115,Kiếm đc nhưng nợ cũng một đống,Kiếm được nhưng nợ cũng một đống,Kiếm được nhưng nợ cũng một đống
116,gòi tao syn lõi may được chưa,rồi tao xin lỗi mày được chưa,rồi tao syn lõi mày được chưa
117,nói như đúng rồi xong bảo kệ ko qtam,nói như đúng rồi xong bảo kệ không quan tâm,nói như đúng rồi xong bảo kệ không quan tâm
118,phòng mình chưa tuổi dì luôn =)))),phòng mình chưa tuổi gì luôn =)))),phòng mình chưa tuổi dì luôn =
119,Đùi k quan trọng lắm,Đùi không quan trọng lắm,Đùi không quan trọng lắm
120,Kinda person chụp ảnh mèo sờ mèo lưu meme mèo rồi gửi ngừi eo anywhere anytime,Kinda person chụp ảnh mèo sờ mèo lưu meme mèo rồi gửi người yêu anywhere anytime,Kinda person chụp ảnh mèo sờ mèo lưu meme mèo rồi gửi người yêu anytime
121,tự dưng bể bónk cái đùng :)),tự dưng bể bóng cái đùng :)),tự dưng bể bón cái đùng
122,chuẩn bị đê tương lai u tối r đấy,chuẩn bị đê tương lai u tối rồi đấy,chuẩn bị để tương lai u tối rồi đấy
123,nhìu khi cừi cho m zui lòng zị đó :)),nhiều khi cười cho mày vui lòng vậy đó :)),nhiều khi cười cho m vui lòng vậy đó
124,m chơi gì ack dị,mày chơi gì ác vậy,mày chơi gì anh dị
125,chưa thấy cái chương trình nào hát zở như cái ct nài,chưa thấy cái chương trình nào hát dở như cái chương trình này,chưa thấy cái chương trình nào hát vậy như cái ct này
126,Thi đh t cũng ngủ quên 15p đầu môn toán,Thi đại học tôi cũng ngủ quên 15p đầu môn toán,Thi đại học tôi cũng ngủ quên 15p đầu môn toán
127,"uầy, mong dũ trụ gửi cho mình 1 anh giống dị","uầy, mong vũ trụ gửi cho mình 1 anh giống vậy","uầy, mong vũ trụ gửi cho mình 1 anh giống vậy"
128,Cho hưa ly trờ téc,Cho hai ly trà tắc,Cho hưa ly trờ téc
129,"Quê lương 7-8 triệu nó đẻ 7-8 lứa r kìa, t thì còn chưa biết yêu đương là gì","Quê lương 7-8 triệu nó đẻ 7-8 lứa rồi kìa, tôi thì còn chưa biết yêu đương là gì","Quê lương 7-8 triệu nó đẻ 7-8 lần rồi kìa, tôi thì còn chưa biết yêu đương là gì"
130,Bạn CA này thật tuyệt vời,Bạn công an này thật tuyệt vời,Bạn CA này thật tuyệt vời
131,Tại chưa cao thôi chứ cao với đến là cụng bứt rồi đó   hầy.,Tại chưa cao thôi chứ cao với đến là cũng bứt rồi đó hầy.,Tại chưa cao thôi chứ cao với đến là cụng bứt rồi đó hả.
132,lấy ck kiếm 10tr/tháng thì phải cưới 30 chồng à,lấy chồng kiếm 10tr/tháng thì phải cưới 30 chồng à,lấy chồng kiếm 10tr/tháng thì phải cưới 30 chồng à
133,Mình khum ăn thịt mỡ thì mộng chè ngồi tách mỡ trong miếng thịt ra cho mình ăn phần nạt ,Mình không ăn thịt mỡ thì mộng chè ngồi tách mỡ trong miếng thịt ra cho mình ăn phần nạt,Mình không ăn thịt mỡ thì mộng chè ngồi tách mỡ trong miếng thịt ra cho mình ăn phần nạt
134,mốt hỏng có hỏi z nữa nghe,mốt không có hỏi vậy nữa nghe,mốt hỏng có hỏi vậy nữa nghe
135,"mă hóng quá, khi nào có mọi người bảo em với nha","má hóng quá, khi nào có mọi người bảo em với nha","má hóng quá, khi nào có mọi người bảo em với nha"
136,Chẳng phải lúc đầu 2 bác nói cứ tự nhiên như ở nhà rồi ngta bới có tí đồ ăn tìm thịt nạc thôi mà làm gì căng ẻ,Chẳng phải lúc đầu 2 bác nói cứ tự nhiên như ở nhà rồi người ta bới có tí đồ ăn tìm thịt nạc thôi mà làm gì căng ỉa,Chẳng phải lúc đầu 2 bác nói cứ tự nhiên như ở nhà rồi người ta bới có tí đồ ăn tìm thịt nạc thôi mà làm gì căng ỉa
137,Em này k nuôi nổi con hay sao mà lại k đủ quyền nuôi con?,Em này không nuôi nổi con hay sao mà lại không đủ quyền nuôi con?,Em này không nuôi nổi con hay sao mà lại không đủ quyền nuôi con?
138,Lại còn hay giấu mô hình của ngta,Lại còn hay giấu mô hình của người ta,Lại còn hay giấu mô hình của người ta
139,thật pùn zì tụi mềnh đag iu xa ạk,thật buồn vì tụi mình đang yêu xa ạ,thật buồn vì tụi mình đag yêu xa ạ
140,Hông có thích sân si soi mói ai hết á,không có thích sân si soi mói ai hết á,Hông có thích sân si soi mói ai hết á
141,vừa dô tri vừa đ chịu đeo kính:)),vừa vô tri vừa đéo chịu đeo kính:)),vừa vô tri vừa được chịu đeo kính:))
142,m khỏi  trân trọng gọi tên những con người chuyên cap màn hình,mình khỏi trân trọng gọi tên những con người chuyên cap màn hình,mày khỏi trân trọng gọi tên những con người chuyên cap màn hình
143,Cái này dt rủ nhậu mà vợ ko cho đi nề haha nhờ vậy mới đi dc,Cái này điện thoại rủ nhậu mà vợ không cho đi nè haha nhờ vậy mới đi được,Cái này điện thoại rủ nhậu mà vợ không cho đi nề haha nhờ vậy mới đi được
